path,alt
Wizehire/33_Wizehire_social-testimonial-bg-desktop.png,Chairs upside down on tables at a business.
Wizehire/33_Wizehire_social-testimonial-bg-m.png,Chairs upside down on tables at a business.
Lockwood/10_LW_Giftbox.mp4,Branded gift box.
Fab/01_FAB_Hero.jpg,Various pictures frames and wall art hanging over a couch with pillows.
Fab/01_FAB_Hero_M.png,Various pictures frames and wall art hanging over a couch with pillows.
Fab/02_FAB_1.png,Person sitting on chair.
Fab/02_FAB_2.png,Person outside on street in front of a brick building.
Fab/02_FAB_3.png,Person wearing decorative head piece and dress with ferris wheel in the background.
Fab/02_FAB_4.png,Two people kissing in front of graffiti wall art.
Fab/02_FAB_5.png,A person stretching in the bleachers.
Fab/03_FAB_1.png,Black cat sitting on cabinet with various picture frames on wall.
Fab/03_FAB_2.png,Person sitting on steps in front of a building.
Fab/03_FAB_3.png,Three glass containers with stoppers.
Fab/04_FAB_NarasPicks_2.png,Advertisement
Fab/04_FAB__MeetCute_1.png,Advertisement
Fab/05_FAB_Oliver_1.gif,Illustration of a person opening a box that shoots out rainbows and confetti.
Fab/05_FAB_Olivia_2.gif,Illustration of a person opening a box that shoots out rainbows and confetti.
Fab/06_FAB_Devices.gif,Mockup of fab instagram page and website shopping experience.
Fab/07_FAB_Emails.png,Screenshots of fab articles.
Fab/08_FAB_Blogs.gif,Fab mobile app articles.
Fab/10_FAB_AdultToy_1.png,"Adult toy ad. Picture of a banana and a peach with words ""Love machine(s). Turn me on."""
Fab/10_FAB_AdultToy_2.png,"Adult toy sale ad. Picture of eggplant with words ""Beauty and brains."""
Fab/10_FAB_AdultToy_3.png,"Adult toy ad with various toys and words ""Meet the bedtime buddies"""
Fab/10_FAB_AdultToy_4.gif,Illustration of animal faces on adult toys.
Fab/10_FAB_AdultToy_5.gif,Feeling sweet? Give yourself some sugar with our adult toys.
Fab/11_FAB_Home.gif,Screenshots from fab website.
Fab/12_FAB_Tablets.png,Screenshots from fab app on tablet.
Fab/13_FAB_Product.gif,Screenshots from fab digital products.
Fab/14_FAB_Moodboard_1.png,Fab moodboard with various interior designs.
Fab/14_FAB_Moodboard_2.png,Fab moodboard with various interior designs.
Fab/14_FAB_Moodboard_3.png,Fab moodboard with various products.
Fab/14_FAB_Moodboard_4.png,Fab moodboard with various products.
