page,asset,path,alt
src/pages/index.astro,HeartCursor,HeartCursor.png,
src/pages/works/puzzle-palace.astro,Hero,PuzzlePalace/img/01_PP_Hero_16x9_D.png,A person with their clothes, eyebrows, and cup they're holding drawn on. The words Empress of word search. They are celebrating their success in the game.
src/pages/works/puzzle-palace.astro,HeroMobile,PuzzlePalace/img/01_PP_Hero_Mobile.png,A person with their clothes, eyebrows, and cup they're holding drawn on. The words Empress of word search. They are celebrating their success in the game.
src/pages/works/puzzle-palace.astro,AppAskewLeft,PuzzlePalace/img/02_PP_APP.png,A screenshot from Puzzle Palace's app store page.
src/pages/works/puzzle-palace.astro,AppAskewRight,PuzzlePalace/img/03_PP_APP.png,A screenshot from the home page of Puzzle Palace's mobile app.
src/pages/works/puzzle-palace.astro,AppCardA,PuzzlePalace/img/04_PP_illustration 1.png,The icon design for the Thomas Joseph Crossword game.
src/pages/works/puzzle-palace.astro,AppCardB,PuzzlePalace/img/04_PP_illustration 2.png,The icon design for the Plus One Word Search game.
src/pages/works/puzzle-palace.astro,AppCardC,PuzzlePalace/img/04_PP_illustration 3.png,The icon design for the Eugene Sheffer Crossword game.
src/pages/works/puzzle-palace.astro,AppCardD,PuzzlePalace/img/04_PP_illustration 4.png,The icon design for the King mini sudoku game.
src/pages/works/puzzle-palace.astro,AppCardE,PuzzlePalace/img/04_PP_illustration 5.png,The icon design for the premier sunday crossword game.
src/pages/works/puzzle-palace.astro,AppCardsBg,PuzzlePalace/img/04_PP_BG_crossword.svg,
src/pages/works/puzzle-palace.astro,PaletteDesktop,PuzzlePalace/img/06_PP_Color Palette_D.svg,The color palette for the brand's design.
src/pages/works/puzzle-palace.astro,PaletteMobile,PuzzlePalace/img/06_PP_Color Palette_M.svg,The color palette for the brand's design.
src/pages/works/puzzle-palace.astro,TypographyDesktop,PuzzlePalace/img/07_PP_Type_D.svg,An analysis of the brand's fonts, font sizes, and font stylings.
src/pages/works/puzzle-palace.astro,TypographyMobile,PuzzlePalace/img/07_PP_Type_M.svg,An analysis of the brand's fonts, font sizes, and font stylings.
src/pages/works/puzzle-palace.astro,SubwayPoster,PuzzlePalace/img/08_PP_Campaign.png,A person walking past subway posters promoting Puzzle Palace.
src/pages/works/puzzle-palace.astro,LandingPage,PuzzlePalace/img/09_PP_LP.png,A screenshot of the Puzzle Palace website.
src/pages/works/puzzle-palace.astro,SplashScreenA,PuzzlePalace/img/10_PP_App Splash Screen_1.png,A person using the app while in bed.
src/pages/works/puzzle-palace.astro,SplashScreenB,PuzzlePalace/img/10_PP_App Splash Screen_2.png,A person using the app while in the restroom.
src/pages/works/puzzle-palace.astro,SplashScreenC,PuzzlePalace/img/10_PP_App Splash Screen_3.png,A person using the app while having a bath.
